caseNumber,date,url,status,error
"824/72/21","01.01.2019","https://reyestr.court.gov.ua/Review/100000204","ok",""
"686/27249/19","01.01.2019","https://reyestr.court.gov.ua/Review/100240495","ok",""
"371/498/20","01.01.2019","https://reyestr.court.gov.ua/Review/100396171","ok",""
"487/5684/19","01.01.2019","https://reyestr.court.gov.ua/Review/100644236","ok",""
"712/2374/18","01.01.2019","https://reyestr.court.gov.ua/Review/100734861","ok",""
"361/5747/13","01.01.2019","https://reyestr.court.gov.ua/Review/101028989","ok",""
"640/21008/18","01.01.2019","https://reyestr.court.gov.ua/Review/101150756","ok",""
"824/30/21","01.01.2019","https://reyestr.court.gov.ua/Review/101279973","ok",""
"824/180/21","01.01.2019","https://reyestr.court.gov.ua/Review/102561555","ok",""
"824/135/21","01.01.2019","https://reyestr.court.gov.ua/Review/102704890","ok",""
"363/1258/18","01.01.2019","https://reyestr.court.gov.ua/Review/102829029","ok",""
"520/5755/18","01.01.2019","https://reyestr.court.gov.ua/Review/102865627","ok",""
"824/87/21","01.01.2019","https://reyestr.court.gov.ua/Review/102892214","ok",""
"824/116/21","01.01.2019","https://reyestr.court.gov.ua/Review/103320164","ok",""
"489/1380/16","01.01.2019","https://reyestr.court.gov.ua/Review/103320314","ok",""
"161/5626/20","01.01.2019","https://reyestr.court.gov.ua/Review/103525273","ok",""
"824/191/21","01.01.2019","https://reyestr.court.gov.ua/Review/103844476","ok",""
"824/204/21","01.01.2019","https://reyestr.court.gov.ua/Review/104178268","ok",""
"824/131/21","01.01.2019","https://reyestr.court.gov.ua/Review/104667054","ok",""
"824/369/2022","01.01.2019","https://reyestr.court.gov.ua/Review/105036882","ok",""
"593/903/17","01.01.2019","https://reyestr.court.gov.ua/Review/105036917","ok",""
"146/1086/16","01.01.2019","https://reyestr.court.gov.ua/Review/105168210","ok",""
"824/28/22","01.01.2019","https://reyestr.court.gov.ua/Review/105667832","ok",""
"688/1415/19","01.01.2019","https://reyestr.court.gov.ua/Review/105726356","ok",""
"824/32/22","01.01.2019","https://reyestr.court.gov.ua/Review/106028788","ok",""
"161/14431/20","01.01.2019","https://reyestr.court.gov.ua/Review/106315490","ok",""
"824/294/21","01.01.2019","https://reyestr.court.gov.ua/Review/106329918","ok",""
"824/213/21","01.01.2019","https://reyestr.court.gov.ua/Review/106354165","ok",""
"461/4839/19","01.01.2019","https://reyestr.court.gov.ua/Review/106354668","ok",""
"607/11258/19","01.01.2019","https://reyestr.court.gov.ua/Review/106454469","ok",""
"516/32/17","01.01.2019","https://reyestr.court.gov.ua/Review/106454487","ok",""
"552/3066/17","01.01.2019","https://reyestr.court.gov.ua/Review/106517311","ok",""
"824/15/22","01.01.2019","https://reyestr.court.gov.ua/Review/106636573","ok",""
"167/1442/17","01.01.2019","https://reyestr.court.gov.ua/Review/106915631","ok",""
"824/74/22","01.01.2019","https://reyestr.court.gov.ua/Review/107011912","ok",""
"148/1223/19","01.01.2019","https://reyestr.court.gov.ua/Review/107011989","ok",""
"382/1414/17","01.01.2019","https://reyestr.court.gov.ua/Review/107105729","ok",""
"824/58/22","01.01.2019","https://reyestr.court.gov.ua/Review/107429005","ok",""
"554/3586/17","01.01.2019","https://reyestr.court.gov.ua/Review/107633944","ok",""
"569/10664/13","01.01.2019","https://reyestr.court.gov.ua/Review/107706693","ok",""
"824/45/22","01.01.2019","https://reyestr.court.gov.ua/Review/107803743","ok",""
"463/4137/13","01.01.2019","https://reyestr.court.gov.ua/Review/107834121","ok",""
"685/803/20","01.01.2019","https://reyestr.court.gov.ua/Review/107834194","ok",""
"991/3921/20","01.01.2019","https://reyestr.court.gov.ua/Review/107904851","ok",""
"201/909/20","01.01.2019","https://reyestr.court.gov.ua/Review/108226056","ok",""
"759/96/18","01.01.2019","https://reyestr.court.gov.ua/Review/108262062","ok",""
