caseNumber,date,url,status,error
"759/14917/19","01.01.2019","https://reyestr.court.gov.ua/Review/106079339","ok",""
"398/1717/18","01.01.2019","https://reyestr.court.gov.ua/Review/106517264","ok",""
"190/1315/19","01.01.2019","https://reyestr.court.gov.ua/Review/106661400","ok",""
"523/8446/22","01.01.2019","https://reyestr.court.gov.ua/Review/116487818","ok",""
"523/15042/21","01.01.2019","https://reyestr.court.gov.ua/Review/119560037","ok",""
"201/11135/20","01.01.2019","https://reyestr.court.gov.ua/Review/120603414","ok",""
"758/7519/18","01.01.2019","https://reyestr.court.gov.ua/Review/121159028","ok",""
"165/2163/23","01.01.2019","https://reyestr.court.gov.ua/Review/121204825","ok",""
"461/2922/20","01.01.2019","https://reyestr.court.gov.ua/Review/125736730","ok",""
"172/1176/16","01.01.2019","https://reyestr.court.gov.ua/Review/126874077","ok",""
"718/2212/24","01.01.2019","https://reyestr.court.gov.ua/Review/127136197","ok",""
"401/2806/16","01.01.2019","https://reyestr.court.gov.ua/Review/72151110","ok",""
"204/1275/16","01.01.2019","https://reyestr.court.gov.ua/Review/72525423","ok",""
"464/3742/15","01.01.2019","https://reyestr.court.gov.ua/Review/73001326","ok",""
"640/3217/17","01.01.2019","https://reyestr.court.gov.ua/Review/73194961","ok",""
"658/1658/16","01.01.2019","https://reyestr.court.gov.ua/Review/73304838","ok",""
"569/6988/16","01.01.2019","https://reyestr.court.gov.ua/Review/73304847","ok",""
"198/8/17","01.01.2019","https://reyestr.court.gov.ua/Review/73438119","ok",""
"760/14438/15","01.01.2019","https://reyestr.court.gov.ua/Review/73438185","ok",""
"522/407/15","19.04.2018","https://reyestr.court.gov.ua/Review/73469649","ok",""
"2/235/1971","20.04.2018","https://reyestr.court.gov.ua/Review/73500804","ok",""
"235/164/16","01.01.2019","https://reyestr.court.gov.ua/Review/73627812","ok",""
"911/3259/16","01.01.2019","https://reyestr.court.gov.ua/Review/73896765","ok",""
"296/3704/16","01.01.2019","https://reyestr.court.gov.ua/Review/74120845","ok",""
"759/19440/15","01.01.2019","https://reyestr.court.gov.ua/Review/74120972","ok",""
"233/6178/15","07.06.2018","https://reyestr.court.gov.ua/Review/74506018","ok",""
"305/1180/15","01.01.2019","https://reyestr.court.gov.ua/Review/74506125","ok",""
"204/5206/16","01.01.2019","https://reyestr.court.gov.ua/Review/74777344","ok",""
"366/1872/17","01.01.2019","https://reyestr.court.gov.ua/Review/74842644","ok",""
"753/15739/16","01.01.2019","https://reyestr.court.gov.ua/Review/74842720","ok",""
"754/2834/16","01.01.2019","https://reyestr.court.gov.ua/Review/74842774","ok",""
"826/808/16","01.01.2019","https://reyestr.court.gov.ua/Review/75099746","ok",""
"686/8655/15","01.01.2019","https://reyestr.court.gov.ua/Review/75133433","ok",""
"548/981/15","06.07.2018","https://reyestr.court.gov.ua/Review/75133502","ok",""
"161/139/16","01.01.2019","https://reyestr.court.gov.ua/Review/75215613","ok",""
"408/8040/12","01.01.2019","https://reyestr.court.gov.ua/Review/75287333","ok",""
"296/485/16","01.01.2019","https://reyestr.court.gov.ua/Review/75473896","ok",""
"405/3734/16","01.01.2019","https://reyestr.court.gov.ua/Review/75692169","ok",""
"0912/1638/12","01.01.2019","https://reyestr.court.gov.ua/Review/76207261","ok",""
"492/446/15","01.01.2019","https://reyestr.court.gov.ua/Review/76596910","ok",""
"490/5224/14","01.01.2019","https://reyestr.court.gov.ua/Review/77361957","ok",""
"360/1436/16","01.01.2019","https://reyestr.court.gov.ua/Review/77611510","ok",""
"577/2576/17","01.01.2019","https://reyestr.court.gov.ua/Review/77654163","ok",""
"211/3761/15","01.01.2019","https://reyestr.court.gov.ua/Review/77685015","ok",""
"753/12729/15","01.01.2019","https://reyestr.court.gov.ua/Review/77696631","ok",""
"921/107/15","01.01.2019","https://reyestr.court.gov.ua/Review/77720890","ok",""
