caseNumber,date,url,status,error
"610/2229/18","01.01.2019","https://reyestr.court.gov.ua/Review/101634295","ok",""
"678/536/21","01.01.2019","https://reyestr.court.gov.ua/Review/104748400","ok",""
"685/656/21","01.01.2019","https://reyestr.court.gov.ua/Review/105190848","ok",""
"203/14/20","01.01.2019","https://reyestr.court.gov.ua/Review/105706453","ok",""
"760/8144/21","01.01.2019","https://reyestr.court.gov.ua/Review/105726373","ok",""
"290/278/21","01.01.2019","https://reyestr.court.gov.ua/Review/106164694","ok",""
"539/2153/21","01.01.2019","https://reyestr.court.gov.ua/Review/107023915","ok",""
"461/1790/19","01.01.2019","https://reyestr.court.gov.ua/Review/107219761","ok",""
"753/10228/20","01.01.2019","https://reyestr.court.gov.ua/Review/107251798","ok",""
"461/3019/22","01.01.2019","https://reyestr.court.gov.ua/Review/107651422","ok",""
"359/5902/17","01.01.2019","https://reyestr.court.gov.ua/Review/109395406","ok",""
"761/34746/17","01.01.2019","https://reyestr.court.gov.ua/Review/109395449","ok",""
"761/30364/17","01.01.2019","https://reyestr.court.gov.ua/Review/109645972","ok",""
"446/2311/21","01.01.2019","https://reyestr.court.gov.ua/Review/109713467","ok",""
"674/969/19","01.01.2019","https://reyestr.court.gov.ua/Review/110175728","ok",""
"696/1163/21","01.01.2019","https://reyestr.court.gov.ua/Review/112406112","ok",""
"759/4148/17","01.01.2019","https://reyestr.court.gov.ua/Review/113065878","ok",""
"202/8301/21","01.01.2019","https://reyestr.court.gov.ua/Review/113536396","ok",""
"219/1049/21","01.01.2019","https://reyestr.court.gov.ua/Review/113794547","ok",""
"550/967/22","01.01.2019","https://reyestr.court.gov.ua/Review/113817340","ok",""
"759/9489/17","01.01.2019","https://reyestr.court.gov.ua/Review/114086683","ok",""
"140/1126/23","01.01.2019","https://reyestr.court.gov.ua/Review/114097842","ok",""
"426/10756/18","01.01.2019","https://reyestr.court.gov.ua/Review/114292184","ok",""
"718/1189/22","01.01.2019","https://reyestr.court.gov.ua/Review/114423720","ok",""
"755/3105/17","01.01.2019","https://reyestr.court.gov.ua/Review/114581899","ok",""
"161/4066/22","01.01.2019","https://reyestr.court.gov.ua/Review/114685485","ok",""
"347/222/21","01.01.2019","https://reyestr.court.gov.ua/Review/114726892","ok",""
"721/698/20","01.01.2019","https://reyestr.court.gov.ua/Review/114757601","ok",""
"206/1744/22","01.01.2019","https://reyestr.court.gov.ua/Review/114757663","ok",""
"644/5171/20","01.01.2019","https://reyestr.court.gov.ua/Review/114796482","ok",""
"686/28824/21","01.01.2019","https://reyestr.court.gov.ua/Review/114796501","ok",""
"317/1651/23","01.01.2019","https://reyestr.court.gov.ua/Review/114796505","ok",""
"336/5442/19","01.01.2019","https://reyestr.court.gov.ua/Review/114835163","ok",""
"569/1916/16","01.01.2019","https://reyestr.court.gov.ua/Review/114849067","ok",""
"465/2671/17","01.01.2019","https://reyestr.court.gov.ua/Review/114849120","ok",""
"161/1826/19","01.01.2019","https://reyestr.court.gov.ua/Review/114904725","ok",""
"494/1330/22","01.01.2019","https://reyestr.court.gov.ua/Review/114904783","ok",""
"522/18465/16","01.01.2019","https://reyestr.court.gov.ua/Review/114904788","ok",""
"461/9543/20","01.01.2019","https://reyestr.court.gov.ua/Review/114904806","ok",""
"369/11708/19","01.01.2019","https://reyestr.court.gov.ua/Review/114928960","ok",""
"333/4532/22","01.01.2019","https://reyestr.court.gov.ua/Review/114928961","ok",""
"682/2119/21","01.01.2019","https://reyestr.court.gov.ua/Review/114962483","ok",""
"644/2494/20","01.01.2019","https://reyestr.court.gov.ua/Review/114994261","ok",""
"608/67/23","01.01.2019","https://reyestr.court.gov.ua/Review/114994301","ok",""
"609/2/22","01.01.2019","https://reyestr.court.gov.ua/Review/114994321","ok",""
"344/4586/23","01.01.2019","https://reyestr.court.gov.ua/Review/115031335","ok",""
"641/1067/23","01.01.2019","https://reyestr.court.gov.ua/Review/115031338","ok",""
"164/93/23","01.01.2019","https://reyestr.court.gov.ua/Review/115061799","ok",""
"629/4665/15","01.01.2019","https://reyestr.court.gov.ua/Review/115061801","ok",""
"442/3434/21","01.01.2019","https://reyestr.court.gov.ua/Review/115102913","ok",""
"382/60/20","01.01.2019","https://reyestr.court.gov.ua/Review/115127006","ok",""
"991/10566/20","01.01.2019","https://reyestr.court.gov.ua/Review/115127015","ok",""
"461/3472/17","01.01.2019","https://reyestr.court.gov.ua/Review/115168389","ok",""
"368/286/21","01.01.2019","https://reyestr.court.gov.ua/Review/115202039","ok",""
"569/302/21","01.01.2019","https://reyestr.court.gov.ua/Review/115202116","ok",""
"369/5665/22","01.01.2019","https://reyestr.court.gov.ua/Review/115238749","ok",""
"991/747/20","01.01.2019","https://reyestr.court.gov.ua/Review/115238854","ok",""
"161/468/23","01.01.2019","https://reyestr.court.gov.ua/Review/115238860","ok",""
"607/4093/20","01.01.2019","https://reyestr.court.gov.ua/Review/115238881","ok",""
"241/667/21","01.01.2019","https://reyestr.court.gov.ua/Review/115283226","ok",""
"149/2976/22","01.01.2019","https://reyestr.court.gov.ua/Review/115308705","ok",""
"991/722/21","01.01.2019","https://reyestr.court.gov.ua/Review/115409309","ok",""
"755/6538/19","01.01.2019","https://reyestr.court.gov.ua/Review/115409343","ok",""
"204/5042/22","01.01.2019","https://reyestr.court.gov.ua/Review/115445689","ok",""
"501/740/20","01.01.2019","https://reyestr.court.gov.ua/Review/115445752","ok",""
"643/8581/20","01.01.2019","https://reyestr.court.gov.ua/Review/115445755","ok",""
"757/12448/22","01.01.2019","https://reyestr.court.gov.ua/Review/115445757","ok",""
"729/700/21","01.01.2019","https://reyestr.court.gov.ua/Review/115445761","ok",""
"595/359/21","01.01.2019","https://reyestr.court.gov.ua/Review/115476534","ok",""
"991/5479/22","01.01.2019","https://reyestr.court.gov.ua/Review/115476543","ok",""
"195/2081/22","01.01.2019","https://reyestr.court.gov.ua/Review/115476601","ok",""
"125/2136/20","01.01.2019","https://reyestr.court.gov.ua/Review/115476607","ok",""
"548/538/18","01.01.2019","https://reyestr.court.gov.ua/Review/115476628","ok",""
"750/2292/22","01.01.2019","https://reyestr.court.gov.ua/Review/115508695","ok",""
"715/396/23","01.01.2019","https://reyestr.court.gov.ua/Review/115598686","ok",""
"737/276/20","01.01.2019","https://reyestr.court.gov.ua/Review/115598722","ok",""
"346/3020/21","01.01.2019","https://reyestr.court.gov.ua/Review/115598732","ok",""
"520/15653/16","01.01.2019","https://reyestr.court.gov.ua/Review/115598827","ok",""
"161/10712/21","01.01.2019","https://reyestr.court.gov.ua/Review/115654046","ok",""
"139/244/20","01.01.2019","https://reyestr.court.gov.ua/Review/115654604","ok",""
"355/942/21","01.01.2019","https://reyestr.court.gov.ua/Review/115681055","ok",""
"182/4973/15","01.01.2019","https://reyestr.court.gov.ua/Review/115713224","ok",""
"159/3397/21","01.01.2019","https://reyestr.court.gov.ua/Review/115713304","ok",""
"522/7892/22","01.01.2019","https://reyestr.court.gov.ua/Review/115713307","ok",""
"169/867/21","01.01.2019","https://reyestr.court.gov.ua/Review/115752100","ok",""
"739/486/23","01.01.2019","https://reyestr.court.gov.ua/Review/115752123","ok",""
"643/13575/14","01.01.2019","https://reyestr.court.gov.ua/Review/115752159","ok",""
"378/1005/20","01.01.2019","https://reyestr.court.gov.ua/Review/115822433","ok",""
"757/10151/23","01.01.2019","https://reyestr.court.gov.ua/Review/115822461","ok",""
"761/15583/23","01.01.2019","https://reyestr.court.gov.ua/Review/115822465","ok",""
"759/22254/19","01.01.2019","https://reyestr.court.gov.ua/Review/115822485","ok",""
"164/1432/18","01.01.2019","https://reyestr.court.gov.ua/Review/115861697","ok",""
